기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,KOSDAQ,성호전자,043260,32589,37750,46.0,308.5,3543.8,3697.8,179.76,2395.17,2500.6,2735.3,21.72,
2026-03-31,KOSDAQ,우리기술,032820,36956,20400,19.2,460.4,403.7,1056.5,370.05,322.47,869.95,771.9,5.88,
2026-03-31,KOSDAQ,대한광통신,010170,19808,7240,68.6,239.6,421.6,1362.6,101.45,209.44,767.68,640.7,75.97,
2026-03-31,KOSDAQ,페니트리움바이오,187660,5751,11050,-40.8,364.3,362.3,538.7,684.45,681.17,979.19,600.8,-6.15,
2026-03-31,KOSPI,대우건설,047040,69866,15550,53.4,307.1,334.4,393.7,165.45,183.24,221.9,464.9,8.1,
2026-03-31,KOSDAQ,RF머트리얼즈,327260,6490,61900,44.6,170.9,288.6,987.9,87.31,168.68,652.2,456.3,23.42,
2026-03-31,KOSDAQ,한국피아이엠,448900,6124,107500,-15.2,145.4,438.3,441.6,189.27,534.45,538.29,431.4,-5.12,
2026-03-31,KOSDAQ,삼천당제약,000250,152004,829000,0.5,256.6,284.7,402.4,254.84,282.83,400.0,427.8,-21.83,
2026-03-31,KOSDAQ,삼표시멘트,038500,15518,14800,-14.7,196.6,361.1,396.6,247.7,440.5,482.21,424.5,-2.84,
2026-03-31,KOSDAQ,스피어,347700,22440,43200,0.7,194.1,314.6,486.2,192.04,311.71,482.09,409.4,5.32,
2026-03-31,KOSPI,미래에셋증권,006800,350404,61600,-14.1,165.0,189.8,574.7,208.35,237.25,685.2,348.8,2.44,
2026-03-31,KOSDAQ,아주IB투자,027360,10697,8120,39.8,181.5,266.6,296.1,101.39,162.3,183.41,317.8,8.74,
2026-03-31,KOSPI,HD현대에너지솔루션,322000,21403,139100,33.8,154.3,204.4,526.6,90.13,127.57,368.47,314.1,37.38,
2026-03-31,KOSDAQ,미래에셋벤처투자,100790,14582,26750,22.4,114.9,229.0,501.8,75.5,168.76,391.56,295.5,2.62,
2026-03-31,KOSPI,코리아써키트,007810,16308,70000,18.8,44.9,303.7,566.7,21.95,239.68,460.95,291.7,-2.86,
2026-03-31,KOSDAQ,씨어스테크놀로지,458870,6038,49700,6.9,14.5,138.0,1064.5,7.15,122.68,989.32,290.1,-4.23,
2026-03-31,KOSDAQ,아이티센글로벌,124500,10801,45650,-22.0,50.7,158.2,663.4,93.07,230.88,878.26,263.3,1.97,
2026-03-31,KOSDAQ,앱클론,174900,11218,56700,-8.3,33.4,205.7,613.2,45.41,233.15,677.36,256.3,-0.71,
2026-03-31,KOSDAQ,RFHIC,218410,23632,75000,32.0,129.7,152.5,435.0,73.97,91.25,305.14,251.0,18.67,
2026-03-31,KOSDAQ,에스피지,058610,23463,104600,-27.7,28.7,278.3,360.8,77.86,422.97,537.0,248.1,1.15,
2026-03-31,KOSDAQ,ISC,095340,50237,233000,20.9,109.7,199.5,349.8,73.54,147.81,272.2,247.1,1.72,
2026-03-31,KOSDAQ,현대바이오,048410,12545,13300,-15.2,167.9,150.0,144.5,215.81,194.74,188.24,245.8,-2.26,
2026-03-31,KOSDAQ,휴림로봇,090710,12996,10300,-28.6,38.3,221.9,422.6,93.69,350.94,632.12,240.4,5.63,
2026-03-31,KOSDAQ,현대무벡스,319400,30405,23850,-31.1,26.9,157.0,617.3,84.14,272.84,940.6,239.0,14.47,
2026-03-31,KOSDAQ,쎄트렉아이,099320,18332,160500,-15.6,134.0,132.9,263.1,177.26,176.05,330.32,234.1,4.3,
2026-03-31,KOSPI,현대건설,000720,168258,142100,-13.7,102.7,161.2,295.3,134.95,202.76,358.14,228.7,6.33,
2026-03-31,KOSPI,SK이터닉스,475150,23233,54300,88.5,162.3,150.8,334.1,39.13,33.03,130.22,227.8,25.6,
2026-03-31,KOSPI,한미반도체,042700,247811,251000,-22.4,97.0,160.1,268.0,153.92,235.23,374.34,222.5,3.59,
2026-03-31,KOSDAQ,로킷헬스케어,376900,22349,124800,83.3,90.5,379.1,0.0,3.97,161.42,-45.43,220.3,13.78,
2026-03-31,KOSDAQ,제이에스링크,127120,14040,37950,-2.8,112.6,76.9,443.7,118.77,82.05,459.46,218.7,8.43,
2026-03-31,KOSDAQ,파두,440110,25255,45950,-22.5,116.2,107.9,297.1,179.06,168.33,412.53,217.6,9.9,
2026-03-31,KOSDAQ,피에스케이,319660,22014,79500,24.0,115.4,142.7,294.5,73.71,95.73,218.11,210.6,-4.4,
2026-03-31,KOSDAQ,비나텍,126340,8267,115100,-6.9,60.1,143.2,424.2,71.91,161.2,462.87,208.0,3.39,
2026-03-31,KOSPI,대덕전자,353200,40126,76700,22.5,62.8,171.5,388.5,32.91,121.59,298.73,202.5,5.87,
2026-03-31,KOSDAQ,비에이치아이,083650,28623,92500,-1.1,76.9,96.0,436.9,78.78,98.09,442.66,197.4,0.0,
2026-03-31,KOSDAQ,기가비스,420770,10546,72700,1.0,130.8,101.4,181.2,128.57,99.45,178.53,191.1,14.44,
2026-03-31,KOSDAQ,와이지-원,019210,5318,12310,30.3,132.3,142.8,133.6,78.3,86.39,79.32,188.8,16.17,
2026-03-31,KOSDAQ,원익IPS,240810,55710,108100,-13.9,59.2,130.0,346.7,84.98,167.23,419.01,188.7,5.0,
2026-03-31,KOSDAQ,에코프로,086520,192123,139500,-24.6,53.6,194.0,181.0,103.74,289.88,272.61,188.4,1.43,
2026-03-31,KOSPI,LS ELECTRIC,010120,230700,718000,-8.8,56.1,152.4,309.6,71.09,176.63,348.94,187.4,7.1,
2026-03-31,KOSDAQ,두산테스나,131970,18302,101300,49.0,90.4,154.2,305.2,27.82,70.64,172.0,186.0,-6.52,
2026-03-31,KOSPI,한화시스템,272210,255796,114100,0.4,109.7,91.8,255.5,108.82,90.92,253.89,184.5,18.67,
2026-03-31,KOSDAQ,인텔리안테크,189300,12434,110900,-8.3,86.4,135.2,218.2,103.36,156.63,247.2,184.5,4.42,
2026-03-31,KOSDAQ,파이버프로,368770,7556,18550,35.3,71.8,212.3,187.6,26.94,130.81,112.56,183.4,23.99,
2026-03-31,KOSDAQ,유진로봇,056080,9246,24300,-33.5,68.8,124.8,244.2,153.82,238.11,417.71,183.0,1.44,
2026-03-31,KOSPI,SK스퀘어,402340,637980,466500,-27.7,26.8,131.5,399.5,75.27,220.1,590.58,180.9,3.54,
2026-03-31,KOSDAQ,에이치브이엠,295310,10535,73500,-2.0,24.8,195.8,277.7,27.33,201.81,285.41,174.3,19.18,
2026-03-31,KOSPI,효성중공업,298040,238708,2456000,-13.0,37.9,83.3,473.2,58.51,110.67,558.81,173.1,4.23,
2026-03-31,KOSDAQ,피에스케이홀딩스,031980,20160,95200,9.2,105.6,109.0,172.4,88.34,91.44,149.5,168.9,-1.79,
2026-03-31,KOSDAQ,뉴로메카,348340,7071,59900,-26.7,82.1,115.5,153.8,148.33,193.88,246.19,167.5,-4.51,
2026-03-31,KOSDAQ,로보티즈,108490,36045,241000,-16.5,-7.7,50.0,683.2,10.54,79.53,837.54,163.7,2.07,
