기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,KOSDAQ,성호전자,043260,30071,37750,46.0,308.5,3543.8,3697.8,179.76,2395.17,2500.6,2735.3,12.32,1.0
2026-03-31,KOSDAQ,우리기술,032820,35245,20400,19.2,460.4,403.7,1056.5,370.05,322.47,869.95,771.9,0.98,40.0
2026-03-31,KOSDAQ,대한광통신,010170,21130,7240,68.6,239.6,421.6,1362.6,101.45,209.44,767.68,640.7,87.71,
2026-03-31,KOSPI,대우건설,047040,71944,15550,53.4,307.1,334.4,393.7,165.45,183.24,221.9,464.9,11.32,
2026-03-31,KOSDAQ,삼천당제약,000250,144967,829000,0.5,256.6,284.7,402.4,254.84,282.83,400.0,427.8,-25.45,51.0
2026-03-31,KOSDAQ,삼표시멘트,038500,16187,14800,-14.7,196.6,361.1,396.6,247.7,440.5,482.21,424.5,1.35,29.0
2026-03-31,KOSDAQ,스피어,347700,21355,43200,0.7,194.1,314.6,486.2,192.04,311.71,482.09,409.4,0.23,15.0
2026-03-31,KOSPI,미래에셋증권,006800,350959,61600,-14.1,165.0,189.8,574.7,208.35,237.25,685.2,348.8,2.6,43.0
2026-03-31,KOSDAQ,아주IB투자,027360,10939,8120,39.8,181.5,266.6,296.1,101.39,162.3,183.41,317.8,11.21,
2026-03-31,KOSPI,HD현대에너지솔루션,322000,20227,139100,33.8,154.3,204.4,526.6,90.13,127.57,368.47,314.1,29.83,
2026-03-31,KOSDAQ,미래에셋벤처투자,100790,14635,26750,22.4,114.9,229.0,501.8,75.5,168.76,391.56,295.5,2.99,33.0
2026-03-31,KOSPI,코리아써키트,007810,16116,70000,18.8,44.9,303.7,566.7,21.95,239.68,460.95,291.7,-4.0,
2026-03-31,KOSDAQ,아이티센글로벌,124500,10813,45650,-22.0,50.7,158.2,663.4,93.07,230.88,878.26,263.3,2.08,8.0
2026-03-31,KOSDAQ,앱클론,174900,9982,56700,-8.3,33.4,205.7,613.2,45.41,233.15,677.36,256.3,-11.64,7.0
2026-03-31,KOSDAQ,RFHIC,218410,22437,75000,32.0,129.7,152.5,435.0,73.97,91.25,305.14,251.0,12.67,83.0
2026-03-31,KOSDAQ,에스피지,058610,22953,104600,-27.7,28.7,278.3,360.8,77.86,422.97,537.0,248.1,-1.05,3.0
2026-03-31,KOSDAQ,ISC,095340,50872,233000,20.9,109.7,199.5,349.8,73.54,147.81,272.2,247.1,3.0,
2026-03-31,KOSDAQ,현대바이오,048410,12314,13300,-15.2,167.9,150.0,144.5,215.81,194.74,188.24,245.8,-4.06,66.0
2026-03-31,KOSDAQ,휴림로봇,090710,12662,10300,-28.6,38.3,221.9,422.6,93.69,350.94,632.12,240.4,2.91,6.0
2026-03-31,KOSDAQ,현대무벡스,319400,28957,23850,-31.1,26.9,157.0,617.3,84.14,272.84,940.6,239.0,9.01,4.0
2026-03-31,KOSDAQ,쎄트렉아이,099320,17532,160500,-15.6,134.0,132.9,263.1,177.26,176.05,330.32,234.1,-0.25,13.0
2026-03-31,KOSPI,현대건설,000720,169149,142100,-13.7,102.7,161.2,295.3,134.95,202.76,358.14,228.7,6.9,82.0
2026-03-31,KOSPI,SK이터닉스,475150,21121,54300,88.5,162.3,150.8,334.1,39.13,33.03,130.22,227.8,14.18,
2026-03-31,KOSPI,한미반도체,042700,240186,251000,-22.4,97.0,160.1,268.0,153.92,235.23,374.34,222.5,0.4,79.0
2026-03-31,KOSDAQ,로킷헬스케어,376900,16541,124800,83.3,90.5,379.1,0.0,3.97,161.42,-45.43,220.3,-15.79,
2026-03-31,KOSDAQ,제이에스링크,127120,13818,37950,-2.8,112.6,76.9,443.7,118.77,82.05,459.46,218.7,6.72,103.0
2026-03-31,KOSDAQ,파두,440110,25237,45950,-22.5,116.2,107.9,297.1,179.06,168.33,412.53,217.6,9.68,174.0
2026-03-31,KOSDAQ,피에스케이,319660,21927,79500,24.0,115.4,142.7,294.5,73.71,95.73,218.11,210.6,-4.78,
2026-03-31,KOSDAQ,비나텍,126340,8141,115100,-6.9,60.1,143.2,424.2,71.91,161.2,462.87,208.0,1.82,32.0
2026-03-31,KOSPI,대덕전자,353200,40027,76700,22.5,62.8,171.5,388.5,32.91,121.59,298.73,202.5,5.61,42.0
2026-03-31,KOSDAQ,비에이치아이,083650,28345,92500,-1.1,76.9,96.0,436.9,78.78,98.09,442.66,197.4,-0.97,75.0
2026-03-31,KOSDAQ,기가비스,420770,10229,72700,1.0,130.8,101.4,181.2,128.57,99.45,178.53,191.1,11.0,88.0
2026-03-31,KOSDAQ,원익IPS,240810,55072,108100,-13.9,59.2,130.0,346.7,84.98,167.23,419.01,188.7,3.79,
2026-03-31,KOSDAQ,에코프로,086520,194159,139500,-24.6,53.6,194.0,181.0,103.74,289.88,272.61,188.4,2.51,
2026-03-31,KOSPI,LS ELECTRIC,010120,239700,718000,-8.8,56.1,152.4,309.6,71.09,176.63,348.94,187.4,11.28,90.0
2026-03-31,KOSDAQ,두산테스나,131970,18012,101300,49.0,90.4,154.2,305.2,27.82,70.64,172.0,186.0,-8.0,
2026-03-31,KOSPI,한화시스템,272210,241061,114100,0.4,109.7,91.8,255.5,108.82,90.92,253.89,184.5,11.83,71.0
2026-03-31,KOSDAQ,인텔리안테크,189300,11875,110900,-8.3,86.4,135.2,218.2,103.36,156.63,247.2,184.5,-0.27,39.0
2026-03-31,KOSDAQ,파이버프로,368770,7244,18550,35.3,71.8,212.3,187.6,26.94,130.81,112.56,183.4,18.87,
2026-03-31,KOSDAQ,유진로봇,056080,8927,24300,-33.5,68.8,124.8,244.2,153.82,238.11,417.71,183.0,-2.06,21.0
2026-03-31,KOSPI,SK스퀘어,402340,643264,466500,-27.7,26.8,131.5,399.5,75.27,220.1,590.58,180.9,4.39,17.0
2026-03-31,KOSDAQ,에이치브이엠,295310,9838,73500,-2.0,24.8,195.8,277.7,27.33,201.81,285.41,174.3,11.29,12.0
2026-03-31,KOSPI,효성중공업,298040,245515,2456000,-13.0,37.9,83.3,473.2,58.51,110.67,558.81,173.1,7.21,52.0
2026-03-31,KOSDAQ,피에스케이홀딩스,031980,19858,95200,9.2,105.6,109.0,172.4,88.34,91.44,149.5,168.9,-3.26,74.0
2026-03-31,KOSDAQ,로보티즈,108490,35386,241000,-16.5,-7.7,50.0,683.2,10.54,79.53,837.54,163.7,0.21,14.0
2026-03-31,KOSPI,SK하이닉스,000660,6314542,807000,-23.9,24.0,132.2,323.2,62.98,205.32,456.37,161.9,9.79,31.0
2026-03-31,KOSDAQ,비츠로셀,082920,17523,35600,68.3,102.0,142.8,200.2,20.03,44.27,78.35,158.9,8.57,121.0
2026-03-31,KOSPI,세아베스틸지주,001430,23668,64400,-6.8,28.3,155.6,268.4,37.65,174.21,295.31,157.5,2.48,26.0
2026-03-31,KOSPI,미래에셋생명,085620,29490,16130,21.1,72.0,107.3,260.9,42.0,71.21,197.99,152.9,3.29,
